elemento,carga,pm,nombre,subindice
FO4,-1,82.99,perfluorato,1
FO3,-1,66.99,fluorato,1
FO2,-1,50.99,fluorito,1
FO,-1,34.99,hipofluorito,1
ClO4,-1,99.453,perclorato,1
ClO3,-1,83.453,clorato,1
ClO2,-1,67.453,clorito,1
ClO,-1,51.453,hipoclorito,1
BrO4,-1,143.904,perbromato,1
BrO3,-1,127.904,bromato,1
BrO2,-1,111.904,bromito,1
BrO,-1,95.904,hipobromito,1
IO4,-1,190.9044,periodato,1
IO3,-1,174.9044,iodato,1
IO2,-1,158.9044,iodito,1
IO,-1,142.9044,hipoiodito,1
AsO4,-1,274,perastato,1
AsO3,-1,258,astato,1
AsO2,-1,242,astatito,1
AsO,-1,226,hipoastatito,1
SO4,-2,96.065,sulfato,2
SO3,-2,80.065,sulfito,2
SO2,-2,64.065,hiposulfito,2
SeO4,-2,142.96,selenato,2
SeO3,-2,126.96,selenito,2
SeO2,-2,110.96,hiposelenito,2
TeO4,-2,191.6,telurato,2
TeO3,-2,175.6,telurito,2
TeO2,-2,159.6,hipotelurito,2
PoO4,-2,274,polonato,2
PoO3,-2,258,polonito,2
PoO2,-2,242,hipopolonito,2
NO3,-2,62.0067,nitratato,2
NO2,-2,46.0067,nitratito,2
NO,-2,30.0067,hiponitratito,2
PO3,-2,78.97696,fosfato,2
PO2,-2,62.97696,fosfito,2
PO,-2,46.97696,hipofosfito,2
AsO3,-2,122.9216,arseleniato,2
AsO2,-2,106.9216,arselenito,2
SbO3,-2,169.76,antimoniato,2
SbO2,-2,153.76,antimonito,2
BiO3,-2,256.9804,bismutato,2
BiO2,-2,240.9804,bismutito,2
CO3,-1,60.0107,carbonato,1
CO2,-1,44.0107,carbonito,1
SiO3,-1,76.0855,silicato,1
SiO2,-1,60.0855,silicito,1
GeO3,-1,120.64,germanato,1
GeO2,-1,104.64,germanito,1
SnO3,-1,166.71,estanato,1
SnO2,-1,150.71,estanito,1
